epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,119.638,0.54954,0.53332,0.89144,0.88515,0.89501,0.93678,0.76102,0.54996,0.73553,0.85,0.000547306,0.000547306,0.000547306
43,122.378,0.5462,0.52354,0.89214,0.90711,0.91019,0.93801,0.77333,0.53711,0.71886,0.84752,0.000533558,0.000533558,0.000533558
44,124.678,0.52952,0.51107,0.88885,0.91794,0.91269,0.94892,0.77523,0.55053,0.64448,0.84996,0.000519809,0.000519809,0.000519809
45,127.026,0.54354,0.52625,0.89694,0.90182,0.90995,0.95494,0.78482,0.52924,0.61003,0.83599,0.00050606,0.00050606,0.00050606
46,129.415,0.53174,0.51364,0.88313,0.94485,0.92598,0.94815,0.78768,0.50647,0.56907,0.83608,0.000492312,0.000492312,0.000492312
47,132.47,0.5446,0.51407,0.88919,0.90522,0.91092,0.93789,0.78606,0.50839,0.58193,0.83611,0.000478563,0.000478563,0.000478563
48,135.727,0.53876,0.50605,0.89342,0.91713,0.90112,0.93673,0.78935,0.50668,0.59885,0.84075,0.000464815,0.000464815,0.000464815
49,138.865,0.51217,0.47577,0.87638,0.92843,0.92215,0.9421,0.80333,0.48259,0.55355,0.83767,0.000451066,0.000451066,0.000451066
50,141.475,0.49991,0.48452,0.8816,0.90692,0.91576,0.93739,0.77907,0.51059,0.56081,0.84015,0.000437317,0.000437317,0.000437317
51,143.884,0.51562,0.49233,0.87949,0.94355,0.91475,0.93724,0.7939,0.49789,0.54515,0.83889,0.000423569,0.000423569,0.000423569
52,146.697,0.52149,0.48951,0.89079,0.94314,0.90485,0.93273,0.7802,0.53311,0.54386,0.84673,0.00040982,0.00040982,0.00040982
53,150.461,0.54435,0.49058,0.88678,0.93599,0.90169,0.93267,0.79726,0.48098,0.53066,0.83022,0.000396071,0.000396071,0.000396071
